line=1 time=2025-06-30T05:19:09Z [syftbox] Script PID: 848350
line=2 time=2025-06-30T05:19:09Z [syftbox] Start time: Mon Jun 30 05:19:09 UTC 2025
line=3 time=2025-06-30T05:19:09Z [syftbox] App ID: local.claude-anthropic
line=4 time=2025-06-30T05:19:09Z [syftbox] App Dir: /home/azureuser/SyftBox/apps/claude-anthropic
line=5 time=2025-06-30T05:19:09Z [syftbox] App Port: 40525
line=6 time=2025-06-30T05:19:09Z [syftbox] Client Config Path: /home/azureuser/.syftbox/config.json
line=7 time=2025-06-30T05:19:09Z [syftbox] PATH: /home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
line=8 time=2025-06-30T05:19:09Z ==========STARTING APP==========
line=9 time=2025-06-30T05:19:09Z Resolved 50 packages in 7ms
line=10 time=2025-06-30T05:19:09Z Audited 47 packages in 0.04ms
line=11 time=2025-06-30T05:19:09Z Running 'claude' with Python 3.12.7 at '/home/azureuser/SyftBox/apps/claude-anthropic/.venv/bin/python3'
line=12 time=2025-06-30T05:19:12Z 2025-06-30 05:19:12.928 | INFO     | syft_event.server2:register_rpc:149 - Register RPC: /completions
line=13 time=2025-06-30T05:19:12Z 2025-06-30 05:19:12.929 | INFO     | syft_event.server2:register_rpc:149 - Register RPC: /chat
line=14 time=2025-06-30T05:19:12Z 2025-06-30 05:19:12.929 | INFO     | syft_event.server2:register_rpc:149 - Register RPC: /ping
line=15 time=2025-06-30T05:19:12Z 2025-06-30 05:19:12.929 | INFO     | syft_event.server2:run_forever:117 - Started watching for files. RPC Directory = /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc
line=16 time=2025-06-30T05:19:12Z 2025-06-30 05:19:12.967 | INFO     | syft_event.server2:publish_schema:104 - Published schema to /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/rpc.schema.json
line=17 time=2025-06-30T05:19:26Z 2025-06-30 05:19:26.949 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/9dfad238-9809-4ec0-9749-0ba5a7c4bff7.request
line=18 time=2025-06-30T05:19:26Z 2025-06-30 05:19:26.950 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/9dfad238-9809-4ec0-9749-0ba5a7c4bff7.request
line=19 time=2025-06-30T05:19:28Z 2025-06-30 05:19:28.184 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/ad7f4053-ca86-4f1f-9f91-f9e78828957b.request
line=20 time=2025-06-30T05:19:28Z 2025-06-30 05:19:28.184 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/ad7f4053-ca86-4f1f-9f91-f9e78828957b.request
line=21 time=2025-06-30T05:19:30Z 2025-06-30 05:19:30.418 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/8f5af033-14a6-44a0-9e6b-6de6f737b5ac.request
line=22 time=2025-06-30T05:19:30Z 2025-06-30 05:19:30.418 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/8f5af033-14a6-44a0-9e6b-6de6f737b5ac.request
